area_type,location,size,total_sqft,price,category,availability
Built-up Area,Himagiri Meadows,2 BHK,869,3600000,Rural,19-Dec
Super built-up Area,Adarsh Nagar,2 BHK,1270,5000000,Urban,Ready To Move
Super built-up Area,Bhoganhalli,3 BHK,1670,9900000,Urban,Ready To Move
Built-up Area,Whitefield,3 BHK,2010,9100000,Rural,Ready To Move
Super built-up Area,Lakshminarayana Pura,2 BHK,1185,7500000,Rural,Ready To Move
Super built-up Area,Yelahanka,3 BHK,1600,7500000,Rural,Ready To Move
Super built-up Area,Begur Road,2 BHK,1200,4400000,Urban,18-May
Super built-up Area,Basavanapura,3 BHK,1612,4674000,Rural,Ready To Move
Super built-up Area,Ramakrishnappa Layout,2 BHK,1500,18500000,Urban,Ready To Move
Plot Area,Murugeshpalya,6 Bedroom,1407,15000000,Rural,Ready To Move
Super built-up Area,Govindaraja Nagar Ward,2 BHK,840,4500000,Urban,18-Feb
Plot Area,Tharabanahalli,3 Bedroom,4395,24000000,Urban,Ready To Move
Super built-up Area,Ganga Nagar,2 BHK,845,5500000,Urban,Ready To Move
Plot Area,Whitefield,4 Bedroom,5700,65000000,Rural,Ready To Move
Built-up Area,Varthur,2 BHK,1160,4400000,Rural,Ready To Move
Built-up Area,Bommanahalli,8 Bedroom,3000,14000000,Urban,Ready To Move
Super built-up Area,Doddathoguru,2 BHK,1100,6200000,Rural,Ready To Move
Super built-up Area,Gunjur,2 BHK,1140,4300000,Rural,Ready To Move
Super built-up Area,Marathahalli,2 BHK,1220,5700000,Urban,Ready To Move
Plot Area,Devarachikkanahalli,8 Bedroom,1350,8500000,Urban,Ready To Move
Super built-up Area,Kanakpura Road,2 BHK,1005,3668000,Urban,Ready To Move
Plot Area,Double Road,3 Bedroom,500,10000000,Urban,19-Dec
Super built-up Area,Begur Road,2 BHK,1358,8058000,Urban,Ready To Move
Super built-up Area,Hegde Nagar,3 BHK,1569,10100000,Urban,Ready To Move
Super built-up Area,Haralur Road,2 BHK,1240,7000000,Urban,18-Nov
Super built-up Area,Hennur Road,3 BHK,2089,14000000,Urban,18-May
Super built-up Area,Kothannur,2 BHK,1206,4823000,Rural,Ready To Move
Super built-up Area,Kalena Agrahara,2 BHK,1150,4000000,Rural,20-Dec
Built-up Area,Cholanayakanahalli,3 BHK,2511,20500000,Urban,17-Oct
Built-up Area,Kaval Byrasandra,2 BHK,460,2200000,Rural,Ready To Move
Built-up Area,ISRO Layout,6 Bedroom,4400,25000000,Urban,19-Dec
Super built-up Area,Kodanda Reddy Layout,3 BHK,1660,10500000,Urban,Ready To Move
Built-up Area,Hennur Road,4 Bedroom,2957 - 3450,22450000,Urban,Ready To Move
Super built-up Area,Yelahanka,2 BHK,1326,7800000,Rural,Ready To Move
Super built-up Area,Garudachar Palya,3 BHK,1325,6080000,Rural,Ready To Move
Super built-up Area,EPIP Zone,3 BHK,1499,10200000,Urban,21-Dec
Built-up Area,Hegde Nagar,6 Bedroom,3000,21000000,Urban,Ready To Move
Super built-up Area,Kanakpura Road,3 BHK,1665,8800000,Urban,Ready To Move
Super built-up Area,Dasanapura,2 BHK,708,3700000,Rural,Ready To Move
Super built-up Area,Kasavanhalli,2 BHK,1060,5806000,Urban,Ready To Move
Plot Area,Rajaji Nagar,6 Bedroom,710,16000000,Urban,Ready To Move
Built-up Area,Sanjay nagar,2 BHK,1000,7000000,Urban,19-Dec
Super built-up Area,Electronic City,2 BHK,1000,2888000,Urban,Ready To Move
Super built-up Area,Mysore Highway,3 BHK,1450,7000000,Rural,Ready To Move
Plot Area,ISRO Layout,4 Bedroom,1200,15500000,Urban,19-Sep
Super built-up Area,Thanisandra,2 BHK,1296,8000000,Rural,Ready To Move
Super built-up Area,Domlur,3 BHK,1540,9000000,Rural,Ready To Move
Plot Area,Kengeri,4 Bedroom,2894,24500000,Rural,20-Sep
Super built-up Area,Sarjapura - Attibele Road,3 BHK,1330,4800000,Urban,Ready To Move
Built-up Area,Devasthanagalu,2 BHK,1200,6500000,Rural,Ready To Move
Built-up Area,T Dasarahalli,3 Bedroom,1200,9000000,Urban,Ready To Move
Super built-up Area,Yeshwanthpur,3 BHK,2502,13800000,Urban,18-Mar
Built-up Area,Chandapura,2 BHK,650,1700000,Rural,Ready To Move
Plot Area,Kothanur,3 Bedroom,2400,15000000,Rural,Ready To Move
Super built-up Area,Green View Layout,2 BHK,1007,4300000,Urban,Ready To Move
Super built-up Area,Shantiniketan Layout,2 BHK,1200,5000000,Urban,Ready To Move
Super built-up Area,Peenya,2 BHK,966,4990000,Rural,20-Feb
Built-up Area,Nagarbhavi,3 BHK,1630,9800000,Urban,Ready To Move
Built-up Area,Rajaji Nagar,3 BHK,1640,22900000,Urban,Ready To Move
Built-up Area,Jalahalli West,2 BHK,782,5568000,Urban,Ready To Move
Super built-up Area,Devanahalli,2 BHK,1260,6678000,Urban,Ready To Move
Super built-up Area,Lakshmiamma Garden,3 BHK,1800,12000000,Rural,Ready To Move
Super built-up Area,Byatarayanapura,3 BHK,1413,7500000,Rural,Ready To Move
Super built-up Area,Whitefield,2 BHK,1116,5191000,Rural,Ready To Move
Super built-up Area,Electronic City,3 BHK,1530,4590000,Urban,Ready To Move
Built-up Area,Ramamurthy Nagar,4 Bedroom,3700,22500000,Urban,Ready To Move
Built-up Area,Sarjapur Road,3 Bedroom,2497,14000000,Urban,18-Apr
Super built-up Area,Kengeri,3 BHK,1540,6400000,Rural,Ready To Move
Super built-up Area,Thanisandra,3 BHK,1436,7475000,Rural,Ready To Move
Super built-up Area,Malleshwaram,2 BHK,1100,7500000,Urban,Ready To Move
Plot  Area,Double Road,3 Bedroom,500,10000000,Rural,Ready To Move
Super built-up Area,Begur Road,2 BHK,1358,8058000,Urban,20-Aug
Super built-up Area,Hegde Nagar,3 BHK,1569,10100000,Rural,Ready To Move
Super built-up Area,Haralur Road,2 BHK,1240,7000000,Urban,18-Apr
Super built-up Area,Hennur Road,3 BHK,2089,14000000,Urban,Ready To Move
Super built-up Area,Kothannur,2 BHK,1206,4823000,Rural,Ready To Move
Super built-up Area,Kalena Agrahara,2 BHK,1150,4000000,Rural,Ready To Move
Built-up Area,Cholanayakanahalli,3 BHK,2511,20500000,Rural,Ready To Move
Built-up Area,Kaval Byrasandra,2 BHK,460,2200000,Rural,Ready To Move
Built-up Area,ISRO Layout,6 Bedroom,4400,25000000,Rural,Ready To Move
